Example, Safe, Plcs, Trns, PropSize, R sfty, T sfty, R sfty-int, T sfty-int, R ref, I ref, T ref, R ref-int, I ref-int, T ref-int, R inv, L inv, T inv, R inv-min, MI inv-min, L inv-min, T inv-min, R inv-ref, I inv-ref, L inv-ref, T inv-ref, R inv-ref-min, I inv-ref-min, MI inv-ref-min, L inv-ref-min, T inv-ref-min, R iic, L iic, T iic, R bfc, T bfc, R mist, T mist
lu-fig2_fixed_vs_satabs.2, -, 61, 184, 1, -, 0.27, -, 0.27, -, 0, 0.42, -, 0, 0.41, -, 0, 0.27, -, 0, 0, 0.25, -, 0, 0, 0.42, -, 0, 0, 0, 0.41, -, , 0.23, -, 0.00, -, 794.93
lu-fig2_fixed_vs_satabs.3, -, 178, 1616, 1, -, 1.23, -, 1.25, -, 0, 1.93, -, 0, 1.91, -, 0, 1.13, -, 0, 0, 1.12, -, 0, 0, 1.92, -, 0, 0, 0, 1.94, TO, , 100000, -, 0.15, ERR, 
peterson_vs_satabs.1, -, 31, 64, 1, -, 0.18, -, 0.18, -, 0, 0.29, -, 0, 0.26, -, 0, 0.19, -, 0, 0, 0.19, -, 0, 0, 0.28, -, 0, 0, 0, 0.29, -, , 0.01, -, 0.00, -, 14439.95
peterson_vs_satabs.2, -, 284, 1984, 1, -, 1.50, -, 1.36, -, 0, 2.33, -, 0, 2.35, -, 0, 1.38, -, 0, 0, 1.38, -, 0, 0, 2.34, -, 0, 0, 0, 2.33, -, , 7494.57, -, 0.46, ERR, 
pthread5_vs_satabs.1, -, 80, 412, 1, -, 0.37, -, 0.42, -, 0, 0.65, -, 0, 0.65, -, 0, 0.40, -, 0, 0, 0.38, -, 0, 0, 0.63, -, 0, 0, 0, 0.66, -, , 0.71, -, 0.00, TO, 100000
pthread5_vs_satabs.2, -, 80, 411, 1, -, 0.41, -, 0.42, -, 0, 0.64, -, 0, 0.66, -, 0, 0.40, -, 0, 0, 0.40, -, 0, 0, 0.66, -, 0, 0, 0, 0.66, -, , 0.71, -, 0.01, TO, 100000
pthread5_vs_satabs.3, -, 187, 1892, 1, -, 1.47, -, 1.47, -, 0, 2.21, -, 0, 2.27, -, 0, 1.29, -, 0, 0, 1.27, -, 0, 0, 2.26, -, 0, 0, 0, 2.23, -, , 2635.68, -, 0.26, TO, 100000
pthread5_vs_satabs.4, -, 187, 1888, 1, -, 1.45, -, 1.39, -, 0, 2.22, -, 0, 2.26, -, 0, 1.28, -, 0, 0, 1.29, -, 0, 0, 2.24, -, 0, 0, 0, 2.22, TO, , 100000, -, 0.06, TO, 100000
rand_cas_vs_satabs.1, -, 48, 52, 1, -, 0.16, -, 0.19, -, 0, 0.28, -, 0, 0.27, -, 0, 0.19, -, 0, 0, 0.18, -, 0, 0, 0.27, -, 0, 0, 0, 0.28, -, , 0.00, -, 0.00, ERR, 
rand_cas_vs_satabs.2, +, 110, 138, 1, +, 0.25, +, 0.25, +, 0, 0.24, +, 0, 0.24, +, 7, 0.52, +, 0, 7, 0.63, +, 0, 7, 0.77, +, 0, 0, 7, 0.91, +, 7, 0.00, +, 2.94, +, 0.39
